"시점",천안시,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,충남 연기군,부여군,서천군,청양군,홍성군,예산군,태안군,충남 당진군
"2000",40563,10260,8663,14533,13093,13613,-,-,3806,5891,6148,4696,2520,6934,6808,4491,9507
"2001",42787,10185,8677,15284,13259,13709,-,-,3798,5950,5900,4470,2401,6759,6619,4462,9468
"2002",44353,10256,8499,15883,13214,13940,-,-,3721,6102,5739,4358,2290,6665,6500,4418,9319
"2003",46292,10109,8398,16556,13158,13918,-,-,3644,6044,5674,4236,2228,6514,6449,4315,9258
"2004",47433,9909,8196,16630,13241,13856,-,-,3609,6088,5595,4060,2149,6359,6278,4170,9148
"2005",49124,9557,7944,16484,13029,10019,3568,-,3547,5935,5385,4035,2074,6255,6075,4089,8968
"2006",49586,9187,7808,16507,12763,9589,3998,-,3459,5842,5146,3804,2011,6087,5781,4027,9003
"2007",49730,8847,7638,17360,13022,9301,4201,-,3299,5606,4914,3630,1879,6100,5542,3841,9074
"2008",48248,8293,7261,18602,13038,8777,4245,-,3163,5318,4567,3401,1799,5815,5220,3545,9090
"2009",45400,7731,6871,19145,12687,8135,4336,-,3009,5117,4194,3157,1611,5521,4853,3309,8885
"2010",43293,7234,6501,19601,12162,7655,4204,-,2894,4989,3854,2955,1444,5277,4482,3121,8738
"2011",42149,6817,6086,19334,11608,7106,3933,-,2734,4763,3479,2674,1348,5075,4097,2958,8801
"2012",40668,6256,5622,18927,10838,6661,3577,8824,2540,5008,3251,2492,1219,4766,3820,2791,-
"2013",38513,5624,5244,18647,10225,6278,3254,8787,2373,-,3014,2262,1115,4658,3562,2660,-
"2014",38012,5391,5023,19182,10118,6115,3144,9028,2353,-,2867,2130,1066,4592,3462,2573,-
"2015",38323,4986,4959,19707,10078,6099,3023,9420,2296,-,2757,2049,1041,4842,3318,2586,-
"2016",38136,4742,4856,20189,10015,5912,3208,9576,2269,-,2586,1934,1007,5084,3190,2605,-
"2017",39092,4601,4726,20778,10006,5834,3258,9937,2313,-,2481,1895,992,5521,3040,2489,-
"2018",40495,4525,4740,21973,10195,5817,3299,10316,2314,-,2374,1845,987,5732,3048,2492,-
"2019",42059,4460,4621,22801,10488,5709,3161,10613,2260,-,2345,1787,959,5734,3007,2420,-
"2020",41731,4312,4472,22616,10336,5374,2949,10530,2110,-,2225,1735,957,5628,2855,2285,-
"2021",41520,4193,4342,22525,10387,5223,2887,10465,1990,-,2172,1694,915,5486,2792,2180,-
